run_estudiante,numero_correlativo,anio_escolar,id_establecimiento,nivel_ensenanza,curso,fecha_matricula,estado
24123456-1,5001,2024,1,Educación Básica,8vo Básico A,2024-03-01,Inactiva
24123456-1,6001,2025,1,Educación Media,1ro Medio A,2025-03-02,Inactiva
24123456-1,7001,2026,1,Educación Media,2do Medio A,2026-03-01,Activa
24234567-2,6002,2025,1,Educación Básica,8vo Básico B,2025-03-03,Inactiva
24234567-2,7002,2026,1,Educación Media,1ro Medio B,2026-03-02,Activa
24345678-3,5003,2024,1,Educación Media,1ro Medio C,2024-03-01,Inactiva
24345678-3,6003,2025,1,Educación Media,2do Medio C,2025-03-01,Inactiva
24345678-3,7003,2026,1,Educación Media,3ro Medio C,2026-03-03,Activa
24456789-4,7004,2026,1,Educación Básica,8vo Básico A,2026-03-04,Activa
24567890-K,6005,2025,1,Educación Media,1ro Medio A,2025-03-05,Inactiva
24567890-K,7005,2026,1,Educación Media,2do Medio A,2026-03-02,Retirado
